theme,amenity,name,lat,lon
education,music_school,The Music Suite,1.2475148,103.8422840
education,kindergarten,Mosaic Kindergarten,1.3364258,103.7837673
education,library,Business Library,1.3466374,103.6799653
education,music_school,D* Capo Music Academy,1.3404633,103.7739275
education,kindergarten,Ascension Kindergarten,1.3300878,103.8665418
education,kindergarten,Little Footprints Preschool,1.3944183,103.8959677
education,kindergarten,Bleu Castle,1.3286685,103.8704161
education,kindergarten,Noah’s Ark Childcare & Development Centre,1.3446967,103.7756921
education,kindergarten,Arise Kindergarten,1.3445851,103.7756219
education,kindergarten,Puedo Preschool,1.3731068,103.8300131
education,college,Singapore Institute of Management Global Education (SIM GE),1.3292588,103.7769043
education,kindergarten,Sunflower Preschool,1.3373101,103.9217476
education,kindergarten,Child's Atelier,1.3329781,103.8948459
education,kindergarten,Kids Mansion Childcare,1.3281102,103.7539230
education,language_school,MOE Language Centre (Newton),1.3097274,103.8374915
education,kindergarten,Life Childcare Centre,1.3020696,103.8518915
education,kindergarten,Little Sparks Montessori,1.3250990,103.9132532
education,prep_school,Attitude Learning Studio,1.3783600,103.9420184
education,kindergarten,Maple Bear Highgate,1.3398748,103.7665946
education,kindergarten,My First Skool at Blk 18 Marine Terrace,1.3031900,103.9142760
education,prep_school,BlueTree Education Learning Centre (King's Arcade),1.3234741,103.8107095
education,kindergarten,Sparkletots,1.3380013,103.8432215
education,kindergarten,Carpe Diem Schoolhouse,1.3379997,103.8432750
education,music_school,Ensemble Music,1.3530131,103.8338711
education,kindergarten,FoodHub,1.3248143,103.9312148
education,kindergarten,,1.3479955,103.9285002
education,prep_school,Frankel Tutors,1.3202874,103.9125581
education,language_school,Daehan Korean Language Center,1.3203737,103.9127015
education,kindergarten,Little Footprints Preschool Sengkang 201,1.3889211,103.8929112
education,kindergarten,PCF Sparkletots,1.3934902,103.8863406
education,music_school,Yamaha Music School,1.3402250,103.7045236
education,language_school,Beijing Language School,1.3855285,103.9018267
education,music_school,Christofori Music School,1.3854236,103.9019370
education,kindergarten,Little Footprints Preschool,1.3859519,103.8971687
education,kindergarten,PCF Sparkletots @ Sengkang Central Blk 206A,1.3864533,103.8968032
education,language_school,Star River Language School,1.2862969,103.8281161
education,school,HiArt,1.2864237,103.8266078
education,school,Confucius Mandarin Institute,1.2862383,103.8279807
education,school,Stalford Learning Centre,1.2863194,103.8279814
education,school,Kent Ridge Education,1.2862248,103.8280890
education,language_school,HCL Education Centre,1.2860824,103.8292773
education,school,AGrader Learning Centre,1.2860910,103.8290983
education,language_school,Beijing Language School,1.3944545,103.9129587
education,prep_school,I Can Read,1.3944244,103.9130536
education,prep_school,Mavis Tutorial Centre (Punggol),1.3942811,103.9127711
education,music_school,Cristofori Music School,1.3943826,103.9128077
education,prep_school,Kumon,1.3943674,103.9130386
education,kindergarten,Metta Preschool @ Punggol,1.4023032,103.9064166
education,kindergarten,Berry Tree Preschool,1.4009629,103.9067411
education,kindergarten,Sparkletots Preschool,1.4038788,103.9057672
education,kindergarten,Agape Little Uni @ Compassvale Pte Ltd,1.3967804,103.8963126
education,kindergarten,PCF Sparkletots Preschool @ Sengkang Central Blk 290A,1.3963199,103.8967320
education,kindergarten,PCF Sparkletots Preschool @ Sengkang West Blk 330A,1.3965358,103.8901475
education,prep_school,EduFirst (Anchorvale),1.3948565,103.8882080
education,kindergarten,Small Wonder Anchorvale,1.3956083,103.8887336
education,kindergarten,Skool4Kidz Anchorvale Cove,1.3976678,103.8893673
education,kindergarten,My First Skool (332B Anchorvale Link),1.3950461,103.8916467
education,school,Dyslexia Association of Singapore Serangoon Learning Centre,1.3487750,103.8739900
education,music_school,Jack Singing Training & Musical Centre,1.3202171,103.9033503
education,kindergarten,PCF Sparkletots Preschool,1.3217580,103.9041603
education,prep_school,Brain Matter Education Centre,1.3484472,103.8488317
education,kindergarten,PCF Sparkletots Preschool @ Bishan East-Thomson Blk 197,1.3484889,103.8503641
education,prep_school,SG Physics & POA,1.3498170,103.8495812
education,prep_school,Economics Cafe Learning Centre,1.3487147,103.8485804
education,prep_school,Mind Stretcher,1.3488127,103.8498112
education,language_school,Tien Hsiah Language School,1.3499524,103.8507400
education,dancing_school,Russian Ballet Academy,1.2913969,103.8511191
education,music_school,The Voice Whisperer,1.2913400,103.8513796
education,kindergarten,MY World Preschool Ltd (Compassvale Ancilla),1.3857147,103.8920183
education,kindergarten,Whiz Kids Montessori @ Hougang Pte Ltd,1.3774970,103.8903667
education,kindergarten,PCF Sparkletots Preschool,1.3716828,103.8877150
education,music_school,Drum Prodigy Singapore,1.3701753,103.8838696
education,prep_school,Stalford Learning Centre,1.3691386,103.8484836
education,prep_school,Aspire Hub Education,1.3693943,103.8488081
education,music_school,Aureus Academy,1.3692395,103.8488935
education,prep_school,LiteracyAlive,1.3691344,103.8484097
education,prep_school,Kent Ridge Education,1.3691574,103.8482782
education,music_school,Cristofori Music School,1.3693659,103.8486967
education,music_school,My Drum School,1.3718056,103.8479615
education,school,Artlette,1.3717566,103.8479080
education,language_school,Wang Learning Centre Pte Ltd,1.3718124,103.8479264
education,kindergarten,Learning Kidz @ Jubilee Square,1.3718107,103.8476081
education,prep_school,The Alternative Story,1.3718611,103.8477484
education,music_school,Guitar Emerge,1.3718720,103.8476160
education,prep_school,Mcube Learning Centre,1.3717986,103.8476808
education,music_school,Cristofori Music School,1.4025358,103.9134046
education,prep_school,Jaycee Tuition Centre,1.3055026,103.8302371
education,dancing_school,All That Jazz,1.3060843,103.8288579
education,music_school,Aureus Academy,1.3061314,103.8285577
education,kindergarten,The Kidz Station,1.3064088,103.8285067
education,school,Julia Gabriel Centre,1.3062686,103.8285461
education,prep_school,Kent Ridge Education,1.3593382,103.8850002
education,art_school,Globalart,1.3583479,103.8841881
education,prep_school,Le Xue Education,1.3577244,103.8845476
education,music_school,Yamaha Music School,1.3576940,103.8841642
education,kindergarten,Kinderland Preschool,1.3577385,103.8841939
education,prep_school,Crestar Learning Centre,1.3577565,103.8841352
education,prep_school,Oxley Education,1.3597125,103.8877815
education,prep_school,Mavis Tutorial Centre,1.3590771,103.8853089
education,prep_school,Learning Voyage,1.3586803,103.8866586
education,prep_school,Ezybox Learning Hub,1.3593414,103.8872906
education,kindergarten,PCF Sparkletots Preschool @ Pay Lebar Blk 221,1.3566467,103.8837734
education,prep_school,Learners' Lodge @ Kovan,1.3569031,103.8835193
education,prep_school,Cordova Education Centre,1.3564878,103.8840744
education,prep_school,Maths Hub Enrichment Centre (Kovan),1.3567113,103.8839144
education,kindergarten,,1.3994196,103.8893446
education,music_school,Finger Waltz Music,1.3176044,103.8926759
education,prep_school,Aspire Hub Education,1.3176339,103.8928192
education,school,Ink Learning,1.3163788,103.8942658
education,music_school,Fine Momentum,1.3145201,103.8948727
education,music_school,Aureus Academy,1.3144933,103.8949479
education,prep_school,Learners Exploratorium,1.3145515,103.8949523
education,kindergarten,MindChamps Preschool,1.3149659,103.8945219
education,prep_school,First Step Education,1.3145889,103.8944821
education,music_school,Drum Tutor,1.3150168,103.8945663
education,kindergarten,Agape Child Care (SK),1.3931264,103.8906784
education,kindergarten,PCF Sparkletots Preschool @ Fernvale Blk 436D,1.3922787,103.8766708
